station,latitude,longitude,elevation,name,annual_precip,precip_norm,elev_norm,lat_norm,long_norm,coastal_penalty,survivability,survivability_category
US1NCMS0020,35.7701,-82.8129,873.9,"MARSHALL 7.5 WSW, NC US",51.1,0.27337589185129557,0.7481373640489851,0.6518680704369687,0.16794429032440672,0.8320557096755933,0.7066040074879804,High
US1NCMT0010,35.8254,-77.2533,21.9,"ROBERSONVILLE 0.0 NNW, NC US",51.38,0.2838903492301916,0.018497901858354027,0.6776297400540388,0.7974636245258457,0.20253637547415426,0.22237327433966156,Low
US1NCNS0002,35.9709,-78.0109,68.3,"NASHVILLE 3.2 W, NC US",49.43,0.21066466391288016,0.058234135480003425,0.745411348178514,0.7116797825963874,0.2883202174036126,0.2512589794257214,Low
US1NCON0004,34.7264,-77.1672,6.1,"SWANSBORO 3.3 NW, NC US",60.3,0.6188509200150205,0.004967029202706174,0.16565731855026347,0.8072128177546293,0.19278718224537073,0.22060227883672187,Low
US1NCON0020,34.6681,-77.1785,9.1,"HUBERT 4.9 SE, NC US",57.55,0.5155839279008635,0.007536182238588677,0.13849809000279512,0.8059333069127558,0.19406669308724422,0.1922521252123783,Low
US1NCON0045,34.524,-77.3708,0.3,"SNEADS FERRY 2.1 SSE, NC US",55.21,0.4277131055200901,0.0,0.07136867604583913,0.7841589763913265,0.21584102360867352,0.1608017825086331,Low
US1NCON0086,34.7108,-77.129,9.1,"SWANSBORO 1.4 N, NC US",64.26,0.7675553886594068,0.007536182238588677,0.1583900121121757,0.811538243786446,0.188461756213554,0.25710779134368317,Low
US1NCOR0002,36.1383,-79.1806,210.9,"EFLAND 4.0 NNW, NC US",48.83,0.18813368381524587,0.18035454311895177,0.8233951364949217,0.5792334258053561,0.4207665741946439,0.3448732778264544,Low
US1NCOR0006,36.1515,-79.1908,202.4,"HILLSBOROUGH 7.4 NW, NC US",47.9,0.1532106646639128,0.17307527618395135,0.8295443957886874,0.5780784691162322,0.4219215308837678,0.33365626980301055,Low
US1NCOR0044,36.1492,-79.133,205.7,"HILLSBOROUGH 5.6 NNW, NC US",49.64,0.2185505069470522,0.1759013445234221,0.8284729339420471,0.5846232236879358,0.41537677631206416,0.349934594352194,Low
US1NCOR0045,35.9081,-79.2067,165.8,"CHAPEL HILL 9.4 W, NC US",47.25,0.12880210289147576,0.1417316091461848,0.7161557812354399,0.5762780954537737,0.42372190454622627,0.29523407839052257,Low
US1NCPD0017,34.3708,-77.7139,15.5,"HAMPSTEAD 0.3 NW, NC US",59.86,0.6023282012767555,0.013017042048471353,0.0,0.7453094038385333,0.2546905961614667,0.2080286905757179,Low
US1NCPD0022,34.554,-77.9229,12.2,"BURGAW 0.3 NE, NC US",56.6,0.47990987607960944,0.010190973709000599,0.08534426534985531,0.721644114816283,0.278355885183717,0.19354577271362436,Low
US1NCPD0028,34.3788,-77.6699,8.2,"TOPSAIL BEACH 2.1 W, NC US",60.56,0.6286143447239955,0.0067654363278239265,0.0037268238144021098,0.7502915699484803,0.24970843005151966,0.2110370139273751,Low
US1NCPK0001,35.2512,-82.1715,315.5,"COLUMBUS 1.9 E, NC US",60.09,0.6109650769808487,0.26993234563672175,0.4101369607751769,0.24057068448168523,0.7594293155183147,0.5011138492835125,Medium
US1NCPK0002,35.3287,-82.2636,319.4,"COLUMBUS 6.6 NNW, NC US",59.99,0.607209913631243,0.27327224458336896,0.4462405664772176,0.23014210496518156,0.7698578950348185,0.5093462646780416,Medium
US1NCPK0005,35.1968,-82.2029,342.3,"TRYON 2.2 ESE, NC US",58.46,0.5497559143822756,0.29288344609060546,0.3847945588372313,0.2370152295759495,0.7629847704240504,0.4941968395512665,Medium
US1NCPK0006,35.2454,-82.3493,646.8,"SALUDA 0.5 N, NC US",69.02,0.9463011641006381,0.5536524792326796,0.40743501350973355,0.22043820415557924,0.7795617958444208,0.7304291418368435,High
