Geographic Area Name,age_Under 5 years,age_5 to 9 years,age_10 to 14 years,age_15 to 19 years,age_20 to 24 years,age_25 to 29 years,age_30 to 34 years,age_35 to 39 years,age_40 to 44 years,age_45 to 49 years,age_50 to 54 years,age_55 to 59 years,age_60 to 64 years,age_65 to 69 years,age_70 to 74 years,age_75 to 79 years,age_80 to 84 years,age_85 years and over,gun_ownership,active_duty_forces,veteran_population,social_community_factors_score
"Buncombe County, North Carolina",0.16535134108968622,0.19512785351294668,0.16127320954907162,0.1860496742368984,0.18603312488552814,0.1789337892764633,0.19347726776173357,0.2155840953917877,0.2122046366473473,0.20654197748867828,0.21314721314721316,0.2535940030672648,0.2687945093156384,0.33664012280533434,0.40171783986573206,0.41322833481218574,0.35182679296346414,0.44862631958560095,0.2442813288669068,0.0,0.3293841055924767,5.161817539861959
"Burke County, North Carolina",0.05508095354324302,0.056290500389879275,0.05590501452570418,0.05742579153634082,0.06304455898898453,0.052563144369477746,0.05300216497507299,0.05379236148466918,0.056865804725813644,0.06038656047665381,0.0717998217998218,0.0929495907924723,0.10115857084288686,0.10950781924589849,0.11637377826044032,0.12296657793552203,0.14109976626891377,0.14799029571831354,0.1189518599026207,0.0,0.10479646050463726,1.691951396287366
"Cabarrus County, North Carolina",0.19182057331923089,0.21478314646016508,0.22391057218643426,0.2072768182773499,0.17735942855647716,0.1427313587173528,0.1539714382187618,0.18775775506544737,0.1951181453410611,0.19501003039148557,0.20114345114345114,0.20463242987573277,0.2000850327224137,0.19950110332917587,0.2073255010366275,0.21217834960070986,0.21171115758395867,0.21821519900334405,0.253795237445176,0.0,0.21699772302338066,4.015324451297736
"Caldwell County, North Carolina",0.05133837767472134,0.0505229759888145,0.06071744347606416,0.05763596127931559,0.056032339935634105,0.045396373613997724,0.04445150654458061,0.049948448986910525,0.041662951404369146,0.061996228092303624,0.07227007227007227,0.07668162077713597,0.09469001017355785,0.10056605583805046,0.11528778754072465,0.11719905353445727,0.10770082420961988,0.11192708674840994,0.10696671532131319,0.0,0.09126418482385827,1.514256018233911
"Camden County, North Carolina",0.005803704607707537,0.00709849157054126,0.008248073765315144,0.008443878497162709,0.005442319265286899,0.004422921380524812,0.004210777206189048,0.006578357539896001,0.005305394560855997,0.0075077780580681585,0.0036506286506286507,0.01185340194068999,0.007258150234599208,0.0075985800633215006,0.0037022410899397768,0.015638864241348714,0.0017222290564645098,0.0045898629598059145,0.009499907241141529,0.0,0.016216516410892463,0.14479207834037983
"Carteret County, North Carolina",0.03247633769967185,0.03999623564840956,0.044158140709864846,0.04341859631337545,0.03732436746121039,0.031247120493892888,0.03047847935328818,0.039033082302313074,0.04598751671868034,0.04133482287650005,0.05463567963567963,0.0675084923103384,0.10143189030778808,0.11127314592727622,0.12471616151643795,0.12152469683525584,0.12172468938368804,0.11900858960068192,0.07898504307161335,0.0,0.15124308113811807,1.4375061693040838
"Caswell County, North Carolina",0.011580289100425786,0.01028474630959103,0.015662498421119112,0.013401411846155748,0.016758680237578167,0.009511328616915627,0.011311498202474825,0.010511923973462435,0.013664734730271957,0.013754249402380866,0.016025641025641024,0.01847525405265949,0.02695233612220417,0.023467331862227766,0.03465297660183631,0.03985507246376811,0.028293763070488375,0.017769326601534324,0.026735553245334928,0.0,0.022584646143023752,0.38125326202909376
"Catawba County, North Carolina",0.11600629186667752,0.12802828641337957,0.12920298092711885,0.12838898710546812,0.12879719511237867,0.10045764950395708,0.09741394720638767,0.1028778913394298,0.10460320998662506,0.12055689694523526,0.13856301356301357,0.1707205205750405,0.1642801828203532,0.17593782979948192,0.2055484253134564,0.2234176279207335,0.2115266330421946,0.1901514654776736,0.18216789703416678,0.0,0.19269146041207724,3.011338392364849
"Chatham County, North Carolina",0.04684999864399425,0.05169261380441505,0.06011115321460149,0.055188101919962415,0.047332478610115386,0.03202522703305929,0.03750968280135857,0.049914828760982605,0.051604993312527866,0.05568969452352637,0.06500594000594001,0.0738293511444911,0.09891127746481011,0.10925837091048643,0.12444466383650904,0.15483584738243122,0.15223274695534506,0.13507310996000263,0.1070122196669782,0.0,0.07021603509876155,1.5787383350502986
"Cherokee County, North Carolina",0.013397336804708051,0.013161786453711919,0.015536187949981054,0.01652923213866258,0.015829822862973915,0.010995873987693632,0.011202256340993505,0.009357629549937243,0.017543468568880963,0.016469061948178314,0.020728145728145728,0.028823689604265505,0.03903913023672503,0.05288304710735873,0.05743410010859907,0.06399733806566105,0.06329191782507074,0.04773457478198151,0.03824115203001887,0.0,0.047298172865103016,0.5994939249586504
"Chowan County, North Carolina",0.007485151737043365,0.006614503508913447,0.008437539472022231,0.0077515546379517105,0.005193751798843507,0.006808432217706019,0.004866228375076966,0.0055249237941545635,0.006531431119037004,0.006378608238134707,0.008662508662508662,0.012756381774140377,0.013104149900542084,0.019859925165499375,0.020090828314739857,0.019594794439514937,0.012670685201131751,0.01894957707691299,0.014403875570116947,0.0,0.01579074029508136,0.22147559129907185
"Clay County, North Carolina",0.0053833428253735795,0.0052835363394369604,0.0030314513073133762,0.007380666856231533,0.0038331719825217825,0.0015357365904600042,0.002860150555147278,0.005513717052178591,0.0021511368702630406,0.004336492606340168,0.005841005841005841,0.005059553669968037,0.01972455471703843,0.02344814352873453,0.013328067923783197,0.03098195800059154,0.008980194365850657,0.021506786440233426,0.011768123855828231,0.0,0.012495603398804124,0.19444339472710434
"Cleveland County, North Carolina",0.07788897024923386,0.08843537414965986,0.07387899456864974,0.0805691891156799,0.0776969570109108,0.06376378323589937,0.06321131348441814,0.05026223776223776,0.06735399019170754,0.0675339651879347,0.08131620631620631,0.09557253221344723,0.10796118863598403,0.11791230931593591,0.11879257577253431,0.13649807749186632,0.1000123016361176,0.13035210805848796,0.13029994364461805,0.0,0.10870249356707826,1.8380145116086075
